,filename,scene_label,target,fold
0,airport-lisbon-1000-40000-a.wav,airport,0,1
1,airport-prague-1015-40019-a.wav,airport,0,1
2,airport-prague-1023-40027-a.wav,airport,0,1
3,airport-prague-1023-40038-a.wav,airport,0,1
4,airport-prague-1034-40041-a.wav,airport,0,1
5,airport-prague-1015-40047-a.wav,airport,0,1
6,airport-lyon-1041-40053-a.wav,airport,0,1
7,airport-lisbon-1000-40073-a.wav,airport,0,1
8,airport-prague-1069-40101-a.wav,airport,0,1
9,airport-prague-1034-40148-a.wav,airport,0,1
10,airport-prague-1069-40151-a.wav,airport,0,1
11,airport-lyon-1041-40156-a.wav,airport,0,1
12,airport-lyon-1095-40158-a.wav,airport,0,1
13,airport-lyon-1101-40173-a.wav,airport,0,1
14,airport-lyon-1041-40175-a.wav,airport,0,1
15,airport-lisbon-1114-40213-a.wav,airport,0,1
16,airport-lisbon-1114-40219-a.wav,airport,0,1
17,airport-lisbon-1000-40242-a.wav,airport,0,1
18,airport-lisbon-1122-40244-a.wav,airport,0,1
19,airport-lyon-1095-40245-a.wav,airport,0,1
20,airport-prague-1069-40257-a.wav,airport,0,1
21,airport-prague-1034-40262-a.wav,airport,0,1
22,airport-prague-1015-40266-a.wav,airport,0,1
23,airport-prague-1034-40269-a.wav,airport,0,1
24,airport-lisbon-1000-40280-a.wav,airport,0,1
25,airport-lisbon-1122-40326-a.wav,airport,0,1
26,airport-lisbon-1000-40329-a.wav,airport,0,1
27,airport-lisbon-1122-40334-a.wav,airport,0,1
28,airport-lisbon-1000-40342-a.wav,airport,0,1
29,airport-lisbon-1122-40344-a.wav,airport,0,1
30,airport-lyon-1041-40360-a.wav,airport,0,1
31,airport-lyon-1101-40386-a.wav,airport,0,1
32,airport-lyon-1041-40393-a.wav,airport,0,1
33,airport-lisbon-1114-40411-a.wav,airport,0,1
34,airport-prague-1015-40417-a.wav,airport,0,1
35,airport-prague-1023-40436-a.wav,airport,0,1
36,airport-prague-1015-40439-a.wav,airport,0,1
37,airport-lisbon-1000-40463-a.wav,airport,0,1
38,airport-lisbon-1114-40495-a.wav,airport,0,1
39,airport-prague-1023-40504-a.wav,airport,0,1
40,airport-prague-1023-40527-a.wav,airport,0,1
41,airport-lisbon-1000-40528-a.wav,airport,0,1
42,airport-lyon-1041-40530-a.wav,airport,0,1
43,airport-prague-1023-40542-a.wav,airport,0,1
44,airport-prague-1069-40583-a.wav,airport,0,1
45,airport-lyon-1095-40622-a.wav,airport,0,1
46,airport-prague-1034-40629-a.wav,airport,0,1
47,airport-lisbon-1000-40643-a.wav,airport,0,1
48,airport-lisbon-1000-40647-a.wav,airport,0,1
49,airport-lisbon-1122-40660-a.wav,airport,0,1
50,airport-prague-1023-40709-a.wav,airport,0,1
